targy_nev,kredit,felelos,nyelv,link
A turizmus alapjai,6,Dr. Keller Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/FENT020NMBB?semester=2024/25/1
A turizmus elosztási csatornái,4,Dr. Jászberényi Melinda,magyar,https://www.uni-corvinus.hu/tantargyak/2GF26NCK18B?semester=2024/25/1
Academic and Business Writing,3,Dr. Győrffy Dóra,magyar,https://www.uni-corvinus.hu/tantargyak/KG00034NAMB?semester=2024/25/2
Academic Writing,6,dr. Kő Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/PHKGI033?semester=2024/25/2
Academic Writing and Debating II.,3,Klein Attila,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0331NABB?semester=2024/25/2
Academic writing and research methods,6,Dr. Almadi Sejla,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB092NAMB?semester=2024/25/2
Accounting and Law,5,Dr. Lakatos László Péter,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM048LASB?semester=2024/25/2
Action Learning,2,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM027LMSB?semester=2024/25/2
Action oriented methods in coaching and Action Learning,4,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VEZ0013LASB?semester=2024/25/2
Active and sport tourism,6,Dr. Irimiás Anna Rita,magyar,https://www.uni-corvinus.hu/tantargyak/FENT003NABB?semester=2024/25/2
Adatbányászati alapok,5,dr. Kő Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/INIR074LMSB ?semester=2023/24/2
Adatbázisok,6,Molnár Géza Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/INSA007NMBB?semester=2024/25/2
Adatelemzés és adatvizualizáció R-ben,6,Dr. Mák Fruzsina,magyar,https://www.uni-corvinus.hu/tantargyak/MSST018NMBB?semester=2024/25/1
Adatelemzés és üzlet a hivatásos labdarúgásban,3,Dr. Havran Zsolt,magyar,https://www.uni-corvinus.hu/tantargyak/VALL024NMBB?semester=2024/25/2
Adatelemzés II.,6,Polt Rita,magyar,https://www.uni-corvinus.hu/tantargyak/MSST017NMBB?semester=2024/25/2
Adatelemzés II.,6,Polt Rita,magyar,https://www.uni-corvinus.hu/tantargyak/MSST023NMBS?semester=2024/25/2
Adatelemzés II.,6,Polt Rita,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN035NMBB?semester=2024/25/2
Adatelemzés II.,6,Polt Rita,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN122NMBB?semester=2024/25/2
Adatelemzés nagyvállalati megoldásokkal,5,Borbásné Szabó Ildikó,magyar,https://www.uni-corvinus.hu/tantargyak/2IR32EAK40S?semester=2023/24/1
Adatmodellezés és -vizualizáció,5,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/INSA041LMSB?semester=2024/25/1
Adatújságírás,6,Dr. habil. Bokor Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKD4B?semester=2023/24/1
Adatvezérelt HRM,6,Kiss Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/VEZ0052LMSB?semester=2024/25/2
Adójog alapjai,5,Dr. Czoboly Gergely István,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NAV03B?semester=2024/25/2
Adótan és költségvetés,4,Dr. Varga Erzsébet Teréz,magyar,https://www.uni-corvinus.hu/tantargyak/4PU51NAK03O?semester=2024/25/2
Adózás,6,Dr. Czoboly Gergely István,magyar,https://www.uni-corvinus.hu/tantargyak/PSGJ025NMBB?semester=2024/25/2
Adózási ismeretek,3,Dr. Czoboly Gergely István,magyar,https://www.uni-corvinus.hu/tantargyak/4GP02NAK08B?semester=2023/24/2
Adózási ismeretek II.,3,Dr. Lakatos László Péter,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM020NMMB?semester=2023/24/2
Advanced Assurance and Professional Oversight,3,Goodwin Andrew John Anthony,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM067NAMB?semester=2024/25/2
Advanced Corporate Finance,6,Covachev Svetoslav Valeriev,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ006NAMB?semester=2024/25/2
Advanced Corporate Finance,6,Covachev Svetoslav Valeriev,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ037NAMB?semester=2024/25/2
Advanced Geopolitics and Geoeconomy,6,Dr. Morgado Nuno,magyar,https://www.uni-corvinus.hu/tantargyak/FENT034NAMB?semester=2024/25/2
Advanced Media Economics,6,Dr. habil. Bokor Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/ISCUBUS563?semester=2024/25/2
Advanced Programming,6,Wachs Johannes,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN003NABB?semester=2024/25/2
Advanced qualitative research methodologies through case studies,6,dr. Kocsis János Balázs,magyar,https://www.uni-corvinus.hu/tantargyak/PHNKP030?semester=2024/25/2
Advanced Research Methodology in Communication,6,Dr. Kárpáti Andrea Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/PHSZK029?semester=2024/25/2
Advanced Research Methods for Data-Driven Marketing Decisions,6,Hubert József,magyar,https://www.uni-corvinus.hu/tantargyak/MARK028NAMB?semester=2024/25/2
Advertising Management,6,Dr. Csordás Tamás Viktor,magyar,https://www.uni-corvinus.hu/tantargyak/MARK069NABB?semester=2024/25/2
African Studies,3,dr. Lehoczki Bernadett Judit,magyar,https://www.uni-corvinus.hu/tantargyak/NPNK039NAMB?semester=2024/25/2
Afrika és a globális dél fejlesztési kihívásai,3,Ricz Judit,magyar,https://www.uni-corvinus.hu/tantargyak/7GF20NAV21B?semester=2024/25/2
Ágens alapú modellezés,5,Dr. Váry Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/4MK24NAK09O?semester=2024/25/1
Agile project manager,3,Dr. Papp-Horváth Viktória,magyar,https://www.uni-corvinus.hu/tantargyak/VALL017LASB?semester=2024/25/2
Agrárgazdasági adatok elemzése,6,Dr. Balogh Jeremiás Máté,magyar,https://www.uni-corvinus.hu/tantargyak/VF00034NMBB?semester=2024/25/2
Agrárgazdasági adatok elemzése,6,Dr. Balogh Jeremiás Máté,magyar,https://www.uni-corvinus.hu/tantargyak/VF00054NMBS?semester=2024/25/1
Agrárpolitika,3,Maró Zalán Márk,magyar,https://www.uni-corvinus.hu/tantargyak/VF00071NMBB?semester=2024/25/2
Agrobiznisz menedzsment,3,Dr. Török Áron,magyar,https://www.uni-corvinus.hu/tantargyak/VF00024NMBB?semester=2024/25/2
Agrobiznisz menedzsment,3,Dr. Török Áron,magyar,https://www.uni-corvinus.hu/tantargyak/VF00045NMBS?semester=2023/24/2
AI and data strategy,6,Dr. Vas Réka Franciska,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN055NAMB?semester=2024/25/2
Akcióorientált esetfeldolgozás,4,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VEZ0054LMSB?semester=2024/25/2
Aktuáriusi modellgyakorlat,6,Dr. Vékás Péter,magyar,https://www.uni-corvinus.hu/tantargyak/MSOA042LMSB?semester=2024/25/2
Aktuáriusi modellgyakorlatok,6,Professor Emerita Dr. Kovács Erzsébet,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11LD035S?semester=2023/24/2
Akvárium coaching,3,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM023LMSB?semester=2024/25/2
Akvarium coaching,5,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM117LASB?semester=2023/24/2
Alkalmazásintegráció,3,Borbásné Szabó Ildikó,magyar,https://www.uni-corvinus.hu/tantargyak/INIR048NMBB?semester=2024/25/2
Alkalmazott adatelemzés,6,Dr. Fodor Szabina Eszter,angol,https://www.uni-corvinus.hu/tantargyak/PHGI_ALKADAT?semester=2023/24/2
Alkalmazott adatelemzés,6,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/PHKGI038?semester=2024/25/2
Alkalmazott sportgazdaságtan,6,Dr. Kajos Attila,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG032NMBS?semester=2024/25/2
Államadósság finanszírozása,4,Dr. Varga Erzsébet Teréz,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NAK11O?semester=2024/25/2
Általános biztosítástan,magyar,Dr. Banyár József,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11LT024S?semester=2023/24/1
