targy_nev,kredit,felelos,nyelv,link
Egészségbiztosítás,3,Ágoston Kolos Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/4OP13NAK22M?semester=2024/25/2
Egészséges szervezeti kultúra és HR rendszerek,8,Toarniczky Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM092NMMB?semester=2024/25/2
Egészségügyi pénzügyi ismeretek,5,Dr. Fazakas Gergely,magyar,https://www.uni-corvinus.hu/tantargyak/PSBV078LMSB?semester=2024/25/2
Egyedi projektek vezetése,3,Dr. Blaskovics Bálint,magyar,https://www.uni-corvinus.hu/tantargyak/2SP72NAK01B?semester=2023/24/2
Egyedi projektek vezetése,6,Dr. Blaskovics Bálint,magyar,https://www.uni-corvinus.hu/tantargyak/VF00023NMBB?semester=2024/25/2
Egyedi projektek vezetése,6,Dr. Blaskovics Bálint,magyar,https://www.uni-corvinus.hu/tantargyak/VF00044NMBS?semester=2023/24/2
Élelem a 21. században,4,Dr. Török Áron,magyar,https://www.uni-corvinus.hu/tantargyak/2KA21NAV04B?semester=2024/25/2
Elemi differencia és differenciál egyenletek a közgazdaságtanban és a pénzügyekben,3,Dr. Szabó Imre,magyar,https://www.uni-corvinus.hu/tantargyak/MSMT011NMBB?semester=2024/25/2
Elemi differencia és differenciálegyenletek a közgazdaságtanban és pénzügyben,3,Dr. Szabó Imre,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAV63B-SPM?semester=2024/25/2
Életbiztosítás,10,Dr. Banyár József,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11LD031S?semester=2024/25/1
Életbiztosítás,2,Dr. Banyár József,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11NIK02M?semester=2024/25/1
Életbiztosítás praktikum,3,Ágoston Kolos Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11NIK03M?semester=2024/25/1
Életpálya-finanszírozás,4,Dr. Banyár József,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NAK10O?semester=2024/25/1
Elismerő feltárás és elismerő vezetés (Appreciative Inquiry),4,Toarniczky Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM046LMSB?semester=2024/25/2
Ellenőrzés és könyvvizsgálat alapjai,3,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/2SA53NCK10B?semester=2023/24/2
Ellenőrzés és könyvvizsgálat alapjai,3,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/PSVS012NMBB?semester=2024/25/2
EMBA Elective 1.,2,Dr. Fehér Péter,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN124LASB?semester=2024/25/2
EMBA Elective 2.,2,Dr. Fehér Péter,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN125LASB?semester=2024/25/2
EMBA Elective 3.,3,Dr. Fehér Péter,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN126LASB?semester=2024/25/2
EMBA Elective 4.,3,Dr. Fehér Péter,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN127LASB?semester=2024/25/2
Emberi erőforrás menedzsment,3,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/2LK95LAK22B?semester=2024/25/2
Empirical Corporate Governance,5,Telegdy Álmos Márton,magyar,https://www.uni-corvinus.hu/tantargyak/PHKGI057?semester=2024/25/2
Empirical Corporate Governance,6,Telegdy Álmos Márton,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG066NAMB?semester=2024/25/2
Empirical Corporate Governance and Management,6,Telegdy Álmos Márton,magyar,https://www.uni-corvinus.hu/tantargyak/MN00015NAMB?semester=2024/25/2
Empirikus közgazdasági elemzések STATA-ban,6,Dr. Tőkés László,magyar,https://www.uni-corvinus.hu/tantargyak/KG00090NMBB?semester=2023/24/1
Empirikus makroökonómia,6,Dr. Kónya István Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/KG00134NMBB?semester=2023/24/2
Empirikus pénzügyek,3,Dr. Szabó Dávid Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NAK13M?semester=2023/24/2
Energy law,3,Szabó László,magyar,https://www.uni-corvinus.hu/tantargyak/REKK016LASB?semester=2024/25/2
Energy Policy,3,Szabó László,magyar,https://www.uni-corvinus.hu/tantargyak/REKK026LASB?semester=2024/25/2
English for Academic Purposes – Communication and Media Studies II.,3,Klein Attila,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0329NABB?semester=2024/25/2
English for Career Purposes,3,Philip Jeffrey Saxon,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0003NABB?semester=2024/25/2
English for Specific (Academic and Business) Purposes I.,6,Ward Jr. Stanley Allen,magyar,https://www.uni-corvinus.hu/tantargyak/293NLNGK101B?semester=2024/25/2
English for Specific Purposes II.,5,Ward Jr. Stanley Allen,magyar,https://www.uni-corvinus.hu/tantargyak/MAME029NABB?semester=2024/25/2
English for Specific Purposes II.,3,Ward Jr. Stanley Allen,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM022NABB?semester=2024/25/2
Entrepreneurship and Strategy,6,Dr. Stocker Miklós György,magyar,https://www.uni-corvinus.hu/tantargyak/PHG072?semester=2024/25/2
Építészeti és kivitelezés menedzsment ismeretek,5,Deutsch Nikolett,magyar,https://www.uni-corvinus.hu/tantargyak/2VP73LAK04S?semester=2024/25/2
Equal Opportunity Policies,6,Dr. Gál Róbert,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NDVT8B?semester=2024/25/2
Equity Financing,6,Dr. Vaskövi Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/VF00143NAMB?semester=2024/25/2
Eredményelemzés és szolvencia,4,Ágoston Kolos Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11NIK19M?semester=2024/25/2
Eredményelemzés és szolvencia,6,Dr. Szüle Borbála,magyar,https://www.uni-corvinus.hu/tantargyak/MSOA044LMSB?semester=2024/25/2
ERP – SAP R/3,5,dr. Ternai Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/2LK95LAK95B?semester=2024/25/2
Értékesítési és eladástechnikák,3,Dr. Galla Daniella Dominika,magyar,https://www.uni-corvinus.hu/tantargyak/2MA41NCK04B?semester=2024/25/2
Értékesítési és eladástechnikák,4,Dr. Galla Daniella Dominika,magyar,https://www.uni-corvinus.hu/tantargyak/MAME030NABB?semester=2024/25/2
Értékteremtés egy fenntartható világ számára,6,Dr. Zsolnai László,magyar,https://www.uni-corvinus.hu/tantargyak/CIAS003NMBB?semester=2024/25/2
Értékteremtő folyamatok,5,Dr. Vörösmarty Gyöngyi,magyar,https://www.uni-corvinus.hu/tantargyak/VGLE047LMSB?semester=2024/25/2
Értékteremtő folyamatok menedzsmentje,5,Losonci Dávid,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60NBK02M?semester=2024/25/2
ESG alapjai és szabályozása,5,Dr. Harangozó Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/FENT078LMSB?semester=2024/25/2
"ESG beszámoló készítés, riporting",5,Dr. Márton András,magyar,https://www.uni-corvinus.hu/tantargyak/FENT079LMSB?semester=2024/25/2
ESG számviteli kérdései,5,Reizingerné Dr. Ducsai Anita,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM096LMSB?semester=2024/25/2
Ethics,6,Brown Eric John,magyar,https://www.uni-corvinus.hu/tantargyak/TARS047NABB?semester=2024/25/2
Ethics and Green Finance,3,Németh-Durkó Emilia,magyar,https://www.uni-corvinus.hu/tantargyak/PSBV106NAMB?semester=2024/25/2
Etika alapjai,3,Dr. Toronyai Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/7FI01NDV70B?semester=2023/24/2
Etnikai konfliktusok és etnonacionalizmus,3,dr. Kemenszky Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NFV64B?semester=2024/25/1
EU – European Economic Governance,6,Dr. Benczes István Zsolt,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB094NAMB?semester=2024/25/2
EU Politics and Governance,6,dr. Gálik Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB086NAMB?semester=2024/25/2
Európa regionális földrajza,3,Dr. Jeney László Botond,magyar,https://www.uni-corvinus.hu/tantargyak/7GF20NAK03M?semester=2024/25/2
Európa-tanulmányok,3,Kőváriné dr. Ignáth Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NCKI6B?semester=2024/25/2
Európai gazdasági integráció,3,Dr. Kengyel Ákos,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGK87B?semester=2024/25/2
Európai integráció fejlődése,6,Kőváriné dr. Ignáth Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGK86B?semester=2024/25/2
Európai közösségi jog,6,Dr. Kaponyi Erzsébet,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NCV17M?semester=2024/25/1
Európai politikák,6,Dr. Kengyel Ákos,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGK75B?semester=2023/24/2
Európai uniós fejlesztési források,5,Dr. Kengyel Ákos,magyar,https://www.uni-corvinus.hu/tantargyak/NPNK032LMSB?semester=2024/25/1
Európai uniós fejlesztési források,5,Dr. Kengyel Ákos,magyar,https://www.uni-corvinus.hu/tantargyak/NPNK047EMSB?semester=2023/24/1
Európai Uniós ismeretek,3,Dr. Kengyel Ákos,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGK89B?semester=2024/25/1
European Economic Governance,6,Dr. Benczes István Zsolt,magyar,https://www.uni-corvinus.hu/tantargyak/PHN_EUROP?semester=2024/25/2
European Economic Integration,3,Dr. Kengyel Ákos,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGKB2B?semester=2024/25/2
European political integration – Foreign and security policy of the EU,6,dr. Gálik Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/PHN_Political Integration?semester=2024/25/2
European Private Law,6,Dr. Dudás Gábor János,magyar,https://www.uni-corvinus.hu/tantargyak/293NLAWK562M?semester=2024/25/2
European Union Law,6,Dr. Komanovics Adrienne Kinga,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NGKQ1B?semester=2024/25/2
European Union SME policies,6,Dr. Nagy Sándor Gyula,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB096NAMB?semester=2024/25/2
Exploring Corporate Strategy,6,Ivanov Denis,magyar,https://www.uni-corvinus.hu/tantargyak/NPVG002NABB?semester=2024/25/2
Export and corporate finance in practice,6,Bakó Barna,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG007NAMB?semester=2024/25/2
Export and corporate finance in practice,6,Bakó Barna,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG073NAMB?semester=2024/25/2
Facility Management,4,Dr. Bagó Péter,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG036LMSB?semester=2023/24/2
Family Business,6,Dr. Wieszt Attila,magyar,https://www.uni-corvinus.hu/tantargyak/VT00004NABB?semester=2024/25/2
Fejezetek a biztosításból,6,Dr. Banyár József,magyar,https://www.uni-corvinus.hu/tantargyak/4OP13NAK27B?semester=2023/24/1
Fejezetek a biztosításból,5,Dr. Banyár József,magyar,https://www.uni-corvinus.hu/tantargyak/4OP13NAK06O?semester=2024/25/2
Fejezetek a haladó matematikából,5,Dr. Magyarkuti Gyula,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK11O?semester=2024/25/1
Fejezetek a matematikából II.,5,Dr. Megyeri Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK25B?semester=2023/24/2
Fejezetek a matematikából II.,6,Dr. Megyeri Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/MSMT029NMBB-SPM?semester=2024/25/2
Fejezetek a matematikából IV.,6,Dr. Szabó Imre,magyar,https://www.uni-corvinus.hu/tantargyak/MSMT031NMBB-SPM?semester=2024/25/2
Fejezetek a szociálpszichológiából,3,Szabó Zsolt Péter,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCV97B?semester=2024/25/2
Fejezetek matematikából I.,5,Dr. Megyeri Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK24B?semester=2023/24/1
Felelős Beszerzés és Fenntartható Erőforrásmenedzsment,5,Dr. Csutora Mária,magyar,https://www.uni-corvinus.hu/tantargyak/FENT081LMSB?semester=2024/25/2
Felelős marketing,4,Faludi Julianna,magyar,https://www.uni-corvinus.hu/tantargyak/2LK95LBK47B?semester=2024/25/2
Felelős vezetői kommunikáció és kompetenciafejlesztés,5,Dr. Komár Zita,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM025NMMB?semester=2024/25/2
"Fenntartható fejlődés, környezetgazdaságtan",4,Dr. Kocsis Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/2KG23NCV01B?semester=2023/24/2
Fenntartható turizmus és CSR,5,Dr. Ásványi Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/2ME43LAK31S?semester=2023/24/2
Fenntarthatósági esettanulmányok,5,Prof. Dr. Zsóka Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/2KG23NDK10B?semester=2024/25/2
Fenntarthatósági menedzsment esettanulmányok,6,Prof. Dr. Zsóka Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/MAME016NMBB?semester=2024/25/2
Fesztiválturizmus,5,Dr. Jászberényi Melinda,magyar,https://www.uni-corvinus.hu/tantargyak/2MA41LAK15S?semester=2023/24/1
Fesztiválturizmus,5,Dr. Jászberényi Melinda,magyar,https://www.uni-corvinus.hu/tantargyak/MATT027LMSB?semester=2024/25/2
Film and History,6,Pachetti Federico,magyar,https://www.uni-corvinus.hu/tantargyak/293NHISV352B?semester=2024/25/2
Filozófia,3,Dr. Kiss Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCKA5B?semester=2024/25/2
Filozófia,3,Dr. Kiss Olga,magyar,https://www.uni-corvinus.hu/tantargyak/TARS069NMBB?semester=2024/25/1
Filozófia pénzügyeseknek,3,Dr. Kiss Olga,magyar,https://www.uni-corvinus.hu/tantargyak/NPPT050NMBB?semester=2024/25/1
Financial Communication,6,Dr. Pesuth Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ028NABB?semester=2024/25/2
Financial Data Analysis,3,Dr. Tamásné Vőneki Zsuzsanna,magyar,https://www.uni-corvinus.hu/tantargyak/KOZNXV4BO01?semester=2024/25/2
Financial Economics,3,Dr. Csóka Péter,magyar,https://www.uni-corvinus.hu/tantargyak/PSBV103NAMB?semester=2024/25/2
Financial Economics,3,Dr. Csóka Péter,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ040NAMB?semester=2024/25/2
Financial Engineering,6,Dr. Mikolasek András,magyar,https://www.uni-corvinus.hu/tantargyak/PSBV119NAMB?semester=2024/25/2
Financial Management 2,6,Dr. Lakatos László Péter,magyar,https://www.uni-corvinus.hu/tantargyak/PHG070?semester=2024/25/2
Financial Management 4,6,Dr. Havran Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/PHG086?semester=2024/25/2
"Financial Planning, Analysis and Valuation",6,Dr. Sebestyén Géza,magyar,https://www.uni-corvinus.hu/tantargyak/MN00009NAMB?semester=2024/25/2
Financial Statements and Analysis,6,Dr. Gulyás Éva,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ008NAMB?semester=2024/25/1
Fintech megoldások,3,Dr. Varga Krisztián,magyar,https://www.uni-corvinus.hu/tantargyak/INSA014NMBB?semester=2024/25/2
Firm and Market Analysis (project) II.,6,Dr. Szakadát László,magyar,https://www.uni-corvinus.hu/tantargyak/KG00127NAMB?semester=2024/25/2
Fiscal Policy,6,Benk Szilárd,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG003NAMB?semester=2024/25/2
Fiscal Policy,6,Benk Szilárd,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG052NAMB?semester=2024/25/2
Fizetési forgalom és innovációk,4,Dr. Pesuth Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ004LMSB?semester=2024/25/2
Folyamat és minőségmenedzsment,5,Deutsch Nikolett,magyar,https://www.uni-corvinus.hu/tantargyak/VF00129LMSB?semester=2024/25/2
Folyamat-menedzsment,5,dr. Szabó Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/2IR32NDK06B?semester=2024/25/2
Folyamat-menedzsment,6,dr. Szabó Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/INIR041NMBB?semester=2024/25/2
Folyamatmenedzsment és információtechnológia,6,Dr. Drótos György,magyar,https://www.uni-corvinus.hu/tantargyak/VEZ0084NMMB?semester=2024/25/2
Food Service Management,3,Dr. Jászberényi Melinda,magyar,https://www.uni-corvinus.hu/tantargyak/FENT032NABB?semester=2024/25/2
Forecast and Foresight,6,Dr. Márton András,magyar,https://www.uni-corvinus.hu/tantargyak/PHCDI008?semester=2024/25/2
Foreign Policy of China,3,Dr. Matura Tamás Attila,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NCKH8M?semester=2024/25/2
Foreign Policy of France,3,dr. Szűcs Anita,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NCKI1B?semester=2024/25/2
Foundations of Accounting,4,Dr. Lakatos László Péter,magyar,https://www.uni-corvinus.hu/tantargyak/PSPS006NABB?semester=2024/25/2
Foundations of Accounting,6,Dr. Lakatos László Péter,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM010NABB?semester=2024/25/2
Foundations of Psychology,6,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCKD6B?semester=2024/25/2
Francia (A1/2 szint t.mentes),3,Dr. Sárosi Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0320FRAA?semester=2024/25/2
Francia (A2/1 szint t.mentes),3,Dr. Sárosi Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0322FRAA?semester=2023/24/2
Francia (A2/2 szint t.mentes),3,Dr. Sárosi Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0324FRAA?semester=2024/25/2
"Francia (ált., felső, t.mentes)/2",3,Dr. Sárosi Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0132FRAF?semester=2024/25/2
"Francia (gazdasági előkészítő B1, t.mentes)/1",3,Dr. Sárosi Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0134FRGE?semester=2024/25/2
"Francia (gazdasági, közép, t.mentes)/2",3,Dr. Sárosi Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0144FRGK?semester=2024/25/2
Francia külpolitika a XX. században,3,dr. Szűcs Anita,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NFV30B?semester=2024/25/1
Fundamentals of finance for strategic decision making,6,Dr. Aranyossy Márta,magyar,https://www.uni-corvinus.hu/tantargyak/VF00025NMBB?semester=2024/25/2
Funkcionálanalízis,4,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK29B?semester=2024/25/2
Funkcionálanalízis,4,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK16O?semester=2024/25/2
Funkcionálanalízis,4,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/MSMT046NMOB?semester=2024/25/2
Future International Manager,3,Dr. Zsolnai László,magyar,https://www.uni-corvinus.hu/tantargyak/CIAS004NAMB?semester=2024/25/2
Game theoretical models in finance,5,Vida Péter,magyar,https://www.uni-corvinus.hu/tantargyak/PHKGI077?semester=2024/25/2
Game Theory,5,Pintér Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/PHKGI060?semester=2024/25/2
Game Theory,5,Pintér Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/PHKGI065?semester=2024/25/2
Gazdaság és vallás,3,Dr. Kovács Gábor László,magyar,https://www.uni-corvinus.hu/tantargyak/2ET27NAV01B?semester=2024/25/2
Gazdaság és vallás,3,Dr. Kovács Gábor László,magyar,https://www.uni-corvinus.hu/tantargyak/2ET27NAV01SB?semester=2024/25/2
Gazdaság- és társadalomtörténet,4,Katona Noémi Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/KSSZ009NMBB?semester=2024/25/2
Gazdaságföldrajz,3,Dr. Jeney László Botond,magyar,https://www.uni-corvinus.hu/tantargyak/2GF26NBK01B?semester=2024/25/2
Gazdasági jog,3,Dr. Bán Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NCK01B?semester=2024/25/2
Gazdasági jog,5,Dr. Bán Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11EAK01S?semester=2023/24/2
Gazdasági jog,6,Dr. Bán Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/PSGJ035NMBB?semester=2024/25/1
Gazdasági jog,5,Dr. Bán Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/PSGJ041LMSB?semester=2024/25/1
Gazdasági közjog,3,Dr. Dudás Gábor János,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NCK03B?semester=2024/25/2
Gazdasági mechanizmusok mikroökonómiája,4,Dr. Magyarkuti Gyula,magyar,https://www.uni-corvinus.hu/tantargyak/4MK24NAK15O?semester=2024/25/2
Gazdasági társaságok alapítása (projekt tárgy),6,Dr. Mikáczó Éva Ilona,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM016NMMB?semester=2023/24/2
Gazdaságpolitika és irányítás,5,Németh András Olivér,magyar,https://www.uni-corvinus.hu/tantargyak/GKGM018LMSB?semester=2024/25/2
Gazdaságpszichológia,3,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/7FI01NDV05B?semester=2024/25/2
Gazdaságszociológia,3,Dr. Melegh Attila,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NDV15B?semester=2024/25/2
Gazdaságszociológia,3,Dr. Letenyei László,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NSZ15B?semester=2023/24/1
Geographical Information Systems,6,Dr. Varga Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/PHNKP031?semester=2024/25/2
"Geopolitics, economy and sustainable development",6,Dr. Morgado Nuno,magyar,https://www.uni-corvinus.hu/tantargyak/PHNKP027?semester=2024/25/2
Geopolitika a gyakorlatban,3,Dr. Lieszkovszky József Pál,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NIK80B?semester=2024/25/1
Global Business Strategy,6,Dr. Stocker Miklós György,magyar,https://www.uni-corvinus.hu/tantargyak/293NMANS672M?semester=2024/25/2
Global Capital Markets,6,Hadházyné dr. Burucs Magdolna Judit,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB009NAMB?semester=2024/25/2
Global Capital Markets,6,Hadházyné dr. Burucs Magdolna Judit,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB091NAMB?semester=2024/25/2
Global Citizenship,1,Isaisas Rivera,magyar,https://www.uni-corvinus.hu/tantargyak/PSPS011NAMB?semester=2024/25/2
Global Citizenship,1,Isaisas Rivera,magyar,https://www.uni-corvinus.hu/tantargyak/MARK061NAMB?semester=2024/25/2
Global Communication Campaigns,6,Dr. Csordás Tamás Viktor,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM004NABB?semester=2024/25/2
Global Development Perspectives in Practice,6,Tétényi András,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB090NAMB?semester=2024/25/2
Global Dynamics – the Middle East and North Africa in the International Order,6,Dr. Csicsmann László,magyar,https://www.uni-corvinus.hu/tantargyak/PHN_GLOB_DYN_MENA?semester=2024/25/2
Global Leadership,6,Toarniczky Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/VGDE009NAMB?semester=2024/25/2
Global marketing and P&L performance,6,Dr. Kelemen Zita Anikó,magyar,https://www.uni-corvinus.hu/tantargyak/MARK067NAMB?semester=2024/25/2
Global Markets & Players,6,Dr. Kacsirek László,magyar,https://www.uni-corvinus.hu/tantargyak/VF00005NABB?semester=2024/25/2
Global Social Change and Inequalities,6,Dr. Melegh Attila,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NBKO3B?semester=2024/25/2
Global Supply Chain Management (Global SCM),5,Demeter Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/VGLE002NMMB?semester=2024/25/2
Global Sustainability Challenges,6,Vetőné Mózner Zsófia,magyar,https://www.uni-corvinus.hu/tantargyak/NPGG046NABB?semester=2024/25/2
Global Value Chains in the World Economy,6,Dr. Vakhal Péter,magyar,https://www.uni-corvinus.hu/tantargyak/VALL005NAMB?semester=2024/25/2
Globale Herausforderungen der Nachhaltigkeit,3,Dr. Széchy Anna Zsófia,német,https://www.uni-corvinus.hu/tantargyak/NPGG014NMBB?semester=2024/25/2
Globális borpiac és kereskedelem,3,Dr. Balogh Jeremiás Máté,magyar,https://www.uni-corvinus.hu/tantargyak/2KA21NAV05B?semester=2023/24/1
Globális fenntarthatósági kihívások,3,Marjainé Dr. Szerényi Zsuzsanna,magyar,https://www.uni-corvinus.hu/tantargyak/NPGG013NMBB?semester=2024/25/1
Globális fenntarthatósági kihívások,6,Marjainé Dr. Szerényi Zsuzsanna,magyar,https://www.uni-corvinus.hu/tantargyak/FENT025LMMB?semester=2024/25/1
Globális klímaváltozás és adaptáció,3,Dr. Balogh Jeremiás Máté,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60NAV08B?semester=2023/24/2
Globalisation and Civilisations,6,dr. Lehoczki Bernadett Judit,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB036NABB?semester=2024/25/2
Globalisation and International Competitiveness,6,Dr. Benczes István Zsolt,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG006NAMB?semester=2024/25/2
"Globalisation, Development, Inequality",6,Özgün Sarimehmet Duman,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB037NABB?semester=2024/25/2
Globalizáció és társadalmi változás,6,Dr. Melegh Attila,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NDVR9B?semester=2024/25/2
Globalization (Economic Theory),6,Isaisas Rivera,magyar,https://www.uni-corvinus.hu/tantargyak/293NECOV305B?semester=2024/25/2
GOs and NGOs in Global Context,5,dr. Vékony Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NAKJ1M?semester=2024/25/2
Grundlagen des Marketing,5,Dr. Patrick Bohl,magyar,https://www.uni-corvinus.hu/tantargyak/2MF44NBK01B?semester=2024/25/2
Grundlagen des Marketing,6,Gyulavári Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/MAME014NMBB?semester=2024/25/2
Haladó IT megoldások,5,Dr. Vas Réka Franciska,magyar,https://www.uni-corvinus.hu/tantargyak/2SZ31EAK03S?semester=2024/25/2
Haladó kommunikációs és prezentációs tréning,6,Dr. Komár Zita,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM027NAPB?semester=2024/25/2
Haladó makroökonómia,4,Dr. Váry Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/4MK24NAK19O?semester=2024/25/2
Haladó vállalati pénzügy,5,Dr. Csóka Péter,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NAK01M?semester=2024/25/2
Haladó vezetői számvitel,5,Dr. Martin Kíra,magyar,https://www.uni-corvinus.hu/tantargyak/2PU51NAK03M?semester=2023/24/1
Haladó vezetői számvitel,6,Dr. Martin Kíra,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM021NMMB?semester=2023/24/1
Hálózatok,3,Dr. Sziklai Balázs Róbert,magyar,https://www.uni-corvinus.hu/tantargyak/MSOA004NMBB?semester=2024/25/2
Happiness and Economics,3,Dr. Kovács Gábor László,magyar,https://www.uni-corvinus.hu/tantargyak/CIAS001NABB?semester=2024/25/2
Health Economics,6,Beretzky Zsuzsanna,magyar,https://www.uni-corvinus.hu/tantargyak/KOZNXV4KZ15?semester=2024/25/2
